StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,av_trust_1_1,av_trust_2_1,av_trust_3_1,av_trust_4_1,av_trust_5_1,Q219_First Click,Q219_Last Click,Q219_Page Submit,Q219_Click Count,vA_sue_AV_1,vB_mnfctr_sue_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q220_First Click,Q220_Last Click,Q220_Page Submit,Q220_Click Count,vA_sue_1,vB_mnfctr_sue_1,vB_driver_sue_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,cruise_familiarity,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,trust_scale_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO
2024-05-09 09:14:59,2024-05-09 09:18:15,0,47.227.233.46,100,195,1,2024-05-09 09:18:15,R_7fHuXV2Y8Nm8wsF,,,,,39.968,-86.0853,anonymous,EN,1,2,2,3,0,0,0,100,,,,,,,,,,0,0,23.552,0,100,0,0,100,7,10,2,1,2,4,2,,44,3,,FL_40,Q241|av_trust_1|av_trust_4|av_trust_3|av_trust_5|av_trust_2,,,Q90|vB_mnfctr_sue|vA_sue|vB_driver_sue,Q71|vA_cntrfctl|avoid|vB_cntrfctl
2024-05-09 09:14:31,2024-05-09 09:18:20,0,37.19.196.76,100,229,1,2024-05-09 09:18:20,R_6TAUYAaKswAWsCY,,,,,40.7123,-74.0068,anonymous,EN,1,2,2,56,73,80,13,53,38.326,38.326,42.774,1,100,10,100,80,66,,,,,,,,,,,1,1,2,55,2,,31,5,,FL_39,Q241|av_trust_2|av_trust_5|av_trust_3|av_trust_4|av_trust_1,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2024-05-09 09:15:12,2024-05-09 09:18:20,0,73.99.88.97,100,187,1,2024-05-09 09:18:20,R_2IPYSIuGtVKMVbW,,,,,39.1487,-78.2637,anonymous,EN,1,2,2,71,73,50,50,64,0,0,40.47,0,81,19,89,19,23,,,,,,,,,,,1,1,2,24,1,,35,4,,FL_39,Q241|av_trust_3|av_trust_4|av_trust_5|av_trust_1|av_trust_2,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|avoid_AV|vA_cntrfctl_AV|vB_cntrfctl_AV,,
2024-05-09 09:16:06,2024-05-09 09:18:25,0,129.59.122.76,100,138,1,2024-05-09 09:18:25,R_3MguUbbHxnmIXtY,,,,,36.1872,-86.7825,anonymous,EN,1,2,2,31,37,35,30,67,,,,,,,,,,0,0,3.276,0,34,40,77,45,59,68,1,2,2,36,2,,,3,,FL_40,Q241|av_trust_4|av_trust_3|av_trust_2|av_trust_5|av_trust_1,,,Q90|vB_driver_sue|vB_mnfctr_sue|vA_sue,Q71|avoid|vA_cntrfctl|vB_cntrfctl
2024-05-09 09:15:00,2024-05-09 09:18:26,0,208.104.124.104,100,205,1,2024-05-09 09:18:27,R_1F54Nd9Ey11HBqL,,,,,34.9071,-81.0073,anonymous,EN,1,2,2,0,0,0,0,100,0,0,27.98,0,100,50,100,90,80,,,,,,,,,,,1,1,2,50,2,,46,5,,FL_39,Q241|av_trust_1|av_trust_4|av_trust_5|av_trust_3|av_trust_2,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2024-05-09 09:16:29,2024-05-09 09:18:52,0,185.104.14.186,100,143,1,2024-05-09 09:18:53,R_2s5oH0YSbDAZbsA,,,,,33.998,-81.03,anonymous,EN,1,2,2,70,70,81,81,71,,,,,,,,,,1.237,6.727,7.708,5,84,100,85,78,89,82,1,1,1,70,1,,50,5,,FL_40,Q241|av_trust_2|av_trust_5|av_trust_3|av_trust_1|av_trust_4,,,Q90|vB_driver_sue|vA_sue|vB_mnfctr_sue,Q71|avoid|vB_cntrfctl|vA_cntrfctl
2024-05-09 09:15:59,2024-05-09 09:18:54,0,24.154.234.178,100,175,1,2024-05-09 09:18:55,R_7i4NuhAVqjSgrvZ,,,,,40.7507,-80.1034,anonymous,EN,1,2,2,0,0,0,0,100,,,,,,,,,,0,0,35.582,0,100,0,0,100,90,10,2,1,2,9,2,,42,4,,FL_40,Q241|av_trust_1|av_trust_5|av_trust_3|av_trust_4|av_trust_2,,,Q90|vB_mnfctr_sue|vA_sue|vB_driver_sue,Q71|avoid|vA_cntrfctl|vB_cntrfctl
2024-05-09 09:14:59,2024-05-09 09:19:02,0,98.114.66.115,100,242,1,2024-05-09 09:19:02,R_37QR1hW9zcJEJep,,,,,39.9195,-75.1565,anonymous,EN,1,2,2,100,100,100,100,0,,,,,,,,,,0,0,19.773,0,100,0,50,100,100,50,2,1,2,50,1,,53,1,,FL_40,Q241|av_trust_4|av_trust_5|av_trust_1|av_trust_3|av_trust_2,,,Q90|vB_driver_sue|vB_mnfctr_sue|vA_sue,Q71|vA_cntrfctl|avoid|vB_cntrfctl
2024-05-09 09:15:32,2024-05-09 09:19:16,0,40.138.179.45,100,224,1,2024-05-09 09:19:16,R_1kyUCVtuEUPBQVK,,,,,37.1027,-84.5432,anonymous,EN,1,2,2,80,80,70,70,10,0,0,48.245,0,100,10,100,10,10,,,,,,,,,,,1,1,2,30,1,,40,3,,FL_39,Q241|av_trust_4|av_trust_3|av_trust_2|av_trust_5|av_trust_1,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vA_cntrfctl_AV|avoid_AV|vB_cntrfctl_AV,,
2024-05-09 09:16:23,2024-05-09 09:19:52,0,68.231.154.51,100,208,1,2024-05-09 09:19:52,R_1Hoz1Ifz6yr7kAg,,,,,33.508,-112.0995,anonymous,EN,1,2,2,0,0,0,0,100,,,,,,,,,,0,0,33.4,0,100,0,0,100,0,0,2,1,2,0,1,,41,4,,FL_40,Q241|av_trust_5|av_trust_1|av_trust_3|av_trust_2|av_trust_4,,,Q90|vB_mnfctr_sue|vB_driver_sue|vA_sue,Q71|avoid|vA_cntrfctl|vB_cntrfctl
2024-05-09 09:17:46,2024-05-09 09:19:53,0,209.20.224.181,100,126,1,2024-05-09 09:19:53,R_6JQQAcSBC2UtOZU,,,,,40.7359,-73.9904,anonymous,EN,1,2,2,68,73,86,74,84,1.502,1.502,7.46,1,66,90,75,76,74,,,,,,,,,,,2,1,1,66,1,,40,7,,FL_39,Q241|av_trust_2|av_trust_5|av_trust_4|av_trust_3|av_trust_1,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vB_cntrfctl_AV|avoid_AV|vA_cntrfctl_AV,,
2024-05-09 09:16:10,2024-05-09 09:20:02,0,103.10.55.82,100,231,1,2024-05-09 09:20:02,R_4wPFyHeXUcABIfn,,,,,23.8175,90.4096,anonymous,EN,1,2,2,60,60,58,60,70,0,0,14.201,0,76,56,59,81,63,,,,,,,,,,,1,2,1,70,1,,36,4,,FL_39,Q241|av_trust_4|av_trust_5|av_trust_3|av_trust_2|av_trust_1,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2024-05-09 09:17:35,2024-05-09 09:20:03,0,64.92.2.136,100,148,1,2024-05-09 09:20:04,R_1q4wzJQQ011GpX2,,,,,29.7388,-95.8309,anonymous,EN,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 09:15:25,2024-05-09 09:20:13,0,174.203.65.172,100,287,1,2024-05-09 09:20:13,R_1uF23SfzBQxcObv,,,,,30.0035,-90.0607,anonymous,EN,1,2,2,60,71,70,35,40,0,0,37.331,0,100,10,100,20,20,,,,,,,,,,,1,1,2,80,2,,25,3,,FL_39,Q241|av_trust_3|av_trust_4|av_trust_1|av_trust_5|av_trust_2,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|avoid_AV|vA_cntrfctl_AV|vB_cntrfctl_AV,,
2024-05-09 09:16:44,2024-05-09 09:20:38,0,66.229.94.170,100,234,1,2024-05-09 09:20:39,R_7wLG9Ez08h0LMfa,,,,,26.0162,-80.1955,anonymous,EN,1,2,2,0,0,0,0,100,6.523,24.2,30.084,7,100,0,100,0,0,,,,,,,,,,,1,1,2,0,1,,60,4,,FL_39,Q241|av_trust_1|av_trust_3|av_trust_4|av_trust_5|av_trust_2,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2024-05-09 09:20:04,2024-05-09 09:20:53,0,216.170.122.234,100,48,1,2024-05-09 09:20:53,R_12b1IPcJeETLHR7,,,,,37.751,-97.822,anonymous,EN,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 09:15:22,2024-05-09 09:20:57,0,175.29.119.69,100,335,1,2024-05-09 09:20:58,R_6hDSJhq5vySfjSV,,,,,32.7776,-79.9413,anonymous,EN,1,2,2,84,74,69,50,63,0,0,54.018,0,77,75,50,60,70,,,,,,,,,,,1,2,1,69,1,,47,5,,FL_39,Q241|av_trust_2|av_trust_1|av_trust_4|av_trust_5|av_trust_3,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2024-05-09 09:16:55,2024-05-09 09:20:59,0,74.139.81.142,100,244,1,2024-05-09 09:21:00,R_2QunLWyRR66Welv,,,,,37.1027,-84.5432,anonymous,EN,1,2,2,0,48,11,82,100,1.155,51.427,51.896,15,96,8,100,25,0,,,,,,,,,,,1,2,2,9,2,,34,3,,FL_39,Q241|av_trust_5|av_trust_4|av_trust_2|av_trust_1|av_trust_3,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|avoid_AV|vA_cntrfctl_AV|vB_cntrfctl_AV,,
2024-05-09 09:17:40,2024-05-09 09:21:01,0,206.72.45.141,100,200,1,2024-05-09 09:21:01,R_1puPWbK6FXXWCMm,,,,,42.7271,-94.677,anonymous,EN,1,2,2,27,43,47,34,77,,,,,,,,,,0,0,33.596,0,20,20,13,52,68,79,2,1,2,7,2,,39,4,,FL_40,Q241|av_trust_2|av_trust_4|av_trust_1|av_trust_3|av_trust_5,,,Q90|vA_sue|vB_driver_sue|vB_mnfctr_sue,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2024-05-09 09:18:01,2024-05-09 09:21:09,0,199.67.110.200,100,188,1,2024-05-09 09:21:10,R_2CZCdMHTDduFk56,,,,,37.751,-97.822,anonymous,EN,1,2,2,81,86,84,81,75,,,,,,,,,,0,0,10.039,0,38,75,80,61,74,86,2,2,1,39,1,,32,4,,FL_40,Q241|av_trust_3|av_trust_2|av_trust_1|av_trust_4|av_trust_5,,,Q90|vB_mnfctr_sue|vB_driver_sue|vA_sue,Q71|avoid|vB_cntrfctl|vA_cntrfctl
2024-05-09 09:20:47,2024-05-09 09:21:10,0,173.63.26.50,100,22,1,2024-05-09 09:21:10,R_56ffI5CYxL56P6J,,,,,40.7787,-74.6003,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 09:14:50,2024-05-09 09:21:20,0,47.17.53.215,100,390,1,2024-05-09 09:21:20,R_5nQ6CLSPiXmEABz,,,,,40.7621,-73.3313,anonymous,EN,1,2,2,30,40,40,30,70,32.23,52.024,54.033,7,82,40,95,60,60,,,,,,,,,,,1,1,2,40,2,,39,4,,FL_39,Q241|av_trust_1|av_trust_4|av_trust_2|av_trust_5|av_trust_3,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|avoid_AV|vB_cntrfctl_AV|vA_cntrfctl_AV,,
2024-05-09 09:15:22,2024-05-09 09:21:24,0,98.228.174.240,100,361,1,2024-05-09 09:21:24,R_14lbHconZehkYxz,,,,,42.0382,-88.262,anonymous,EN,1,2,2,76,82,92,75,75,0,0,12.5,0,87,73,96,83,78,,,,,,,,,,,1,2,1,81,1,,58,5,,FL_39,Q241|av_trust_1|av_trust_4|av_trust_5|av_trust_3|av_trust_2,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,
2024-05-09 09:16:58,2024-05-09 09:21:45,0,91.124.59.20,100,286,1,2024-05-09 09:21:45,R_2eaLHt6i9rd8v2X,,,,,35.2316,-80.8428,anonymous,EN,1,2,2,98,90,85,89,91,,,,,,,,,,0,0,21.792,0,85,94,93,87,90,92,1,1,1,85,1,,30,5,,FL_40,Q241|av_trust_4|av_trust_3|av_trust_5|av_trust_2|av_trust_1,,,Q90|vB_mnfctr_sue|vA_sue|vB_driver_sue,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2024-05-09 09:18:11,2024-05-09 09:21:46,0,98.121.101.45,100,215,1,2024-05-09 09:21:47,R_5xwKZUXGRdl1jxC,,,,,35.971,-80.0079,anonymous,EN,1,2,2,21,15,30,39,79,0,0,31.102,0,100,28,100,19,13,,,,,,,,,,,1,1,2,60,2,,35,7,,FL_39,Q241|av_trust_1|av_trust_2|av_trust_5|av_trust_3|av_trust_4,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vB_cntrfctl_AV|avoid_AV|vA_cntrfctl_AV,,
2024-05-09 09:18:35,2024-05-09 09:21:49,0,184.17.67.176,100,193,1,2024-05-09 09:21:49,R_2jMJpsNeOpEnLuM,,,,,41.0491,-85.1514,anonymous,EN,1,2,2,31,38,29,15,93,0,0,32.604,0,90,10,100,30,20,,,,,,,,,,,1,1,2,20,1,,31,5,,FL_39,Q241|av_trust_4|av_trust_2|av_trust_5|av_trust_1|av_trust_3,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vA_cntrfctl_AV|avoid_AV|vB_cntrfctl_AV,,
2024-05-09 09:16:21,2024-05-09 09:21:50,0,174.192.204.89,100,329,1,2024-05-09 09:21:51,R_70lbUhzoe9PdF2x,,,,,39.308,-76.6734,anonymous,EN,1,2,2,65,42,64,32,72,46.435,58.409,59.679,4,23,77,65,40,36,,,,,,,,,,,1,1,2,6,2,,35,4,,FL_39,Q241|av_trust_2|av_trust_3|av_trust_5|av_trust_4|av_trust_1,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|vB_cntrfctl_AV|avoid_AV|vA_cntrfctl_AV,,
2024-05-09 09:18:21,2024-05-09 09:22:22,0,66.172.69.166,100,240,1,2024-05-09 09:22:22,R_5nHGy2CBgdB1ip3,,,,,32.45,-81.7158,anonymous,EN,1,2,2,0,0,0,0,0,,,,,,,,,,25.455,25.455,26.805,1,50,50,50,50,50,50,1,2,1,0,2,,28,3,,FL_40,Q241|av_trust_1|av_trust_5|av_trust_3|av_trust_4|av_trust_2,,,Q90|vB_mnfctr_sue|vB_driver_sue|vA_sue,Q71|avoid|vA_cntrfctl|vB_cntrfctl
2024-05-09 09:15:51,2024-05-09 09:22:27,0,136.226.50.198,100,396,1,2024-05-09 09:22:28,R_1pVT513b5L7DdRS,,,,,38.9609,-77.3429,anonymous,EN,1,2,2,14,21,19,13,83,,,,,,,,,,0,0,221.113,0,81,0,10,91,17,10,2,1,2,34,1,,38,4,,FL_40,Q241|av_trust_2|av_trust_1|av_trust_5|av_trust_4|av_trust_3,,,Q90|vA_sue|vB_driver_sue|vB_mnfctr_sue,Q71|vB_cntrfctl|vA_cntrfctl|avoid
2024-05-09 09:19:14,2024-05-09 09:22:37,0,66.232.195.164,100,202,1,2024-05-09 09:22:37,R_5vmDBmGWNvOwfIt,,,,,38.8789,-99.3392,anonymous,EN,1,2,2,60,50,60,60,50,0,0,26.157,0,100,0,100,10,50,,,,,,,,,,,1,1,2,10,1,,41,2,,FL_39,Q241|av_trust_5|av_trust_2|av_trust_3|av_trust_1|av_trust_4,Q116|vA_sue_AV|vB_mnfctr_sue_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,
2024-05-09 09:18:05,2024-05-09 09:22:44,0,205.169.21.130,100,278,1,2024-05-09 09:22:45,R_3ykkoCN6FBZz9qt,,,,,33.0757,-96.7827,anonymous,EN,1,2,2,20,40,25,40,75,20.318,52.966,54.003,14,70,70,100,85,80,,,,,,,,,,,1,1,2,65,1,,30,4,,FL_39,Q241|av_trust_5|av_trust_3|av_trust_2|av_trust_1|av_trust_4,Q116|vB_mnfctr_sue_AV|vA_sue_AV,Q122|vB_cntrfctl_AV|avoid_AV|vA_cntrfctl_AV,,
